order_month,total_orders,delivered_orders,avg_delivery_days,avg_delivery_delay_days,late_deliveries,late_delivery_rate
2016-09-01 00:00:00,4,1,54.81,36.32,1,1.0000
2016-10-01 00:00:00,324,270,19.58,-36.06,3,0.0111
2016-12-01 00:00:00,1,1,4.69,-21.34,0,0.0000
2017-01-01 00:00:00,800,750,12.65,-26.86,23,0.0307
2017-02-01 00:00:00,1780,1653,13.17,-18.68,53,0.0321
2017-03-01 00:00:00,2682,2546,12.95,-11.78,142,0.0558
2017-04-01 00:00:00,2404,2303,14.92,-12.43,181,0.0786
2017-05-01 00:00:00,3700,3545,11.32,-12.96,128,0.0361
2017-06-01 00:00:00,3245,3135,12.01,-12.01,121,0.0386
2017-07-01 00:00:00,4026,3872,11.59,-11.72,133,0.0343
2017-08-01 00:00:00,4331,4193,11.15,-12.33,139,0.0332
2017-09-01 00:00:00,4285,4150,11.85,-10.59,216,0.0520
2017-10-01 00:00:00,4631,4478,11.86,-11.16,237,0.0529
2017-11-01 00:00:00,7544,7288,15.16,-7.40,1043,0.1431
2017-12-01 00:00:00,5673,5513,15.39,-12.29,462,0.0838
2018-01-01 00:00:00,7269,7069,14.08,-12.22,464,0.0656
2018-02-01 00:00:00,6728,6556,16.95,-7.58,1049,0.1600
2018-03-01 00:00:00,7211,7003,16.30,-5.73,1496,0.2136
2018-04-01 00:00:00,6939,6798,11.50,-12.18,361,0.0531
2018-05-01 00:00:00,6873,6749,11.42,-11.47,556,0.0824
2018-06-01 00:00:00,6167,6096,9.24,-18.53,83,0.0136
2018-07-01 00:00:00,6292,6156,8.96,-10.73,276,0.0448
2018-08-01 00:00:00,6512,6351,7.73,-7.45,660,0.1039
2018-09-01 00:00:00,16,0,,,0,
2018-10-01 00:00:00,4,0,,,0,
