payment_installments,payment_rows,orders_count,total_payment_value,avg_payment_value,payment_row_share
0,2,2,188.63,94.32,0.0000
1,52546,49060,5907233.36,112.42,0.5058
2,12413,12389,1579283.03,127.23,0.1195
3,10461,10443,1491103.80,142.54,0.1007
4,7098,7088,1163907.61,163.98,0.0683
5,5239,5234,961174.30,183.47,0.0504
6,3920,3916,822611.81,209.85,0.0377
7,1626,1623,305157.39,187.67,0.0157
8,4268,4253,1313423.34,307.74,0.0411
9,644,644,131015.92,203.44,0.0062
10,5328,5315,2211577.34,415.09,0.0513
11,23,23,2873.44,124.93,0.0002
12,133,133,42783.24,321.68,0.0013
13,16,16,2407.40,150.46,0.0002
14,15,15,2519.44,167.96,0.0001
15,74,74,32970.93,445.55,0.0007
16,5,5,1463.47,292.69,0.0000
17,8,8,1396.82,174.60,0.0001
18,27,27,13135.05,486.48,0.0003
20,17,17,10468.63,615.80,0.0002
21,3,3,731.10,243.70,0.0000
22,1,1,228.71,228.71,0.0000
23,1,1,236.48,236.48,0.0000
24,18,18,10980.88,610.05,0.0002
