product_id,category_name,items_sold,orders_count,item_revenue,freight_revenue,gross_revenue,avg_item_value
bb50f2e236e5eea0100680137654686c,health_beauty,195,187,63885.00,3721.10,67606.10,346.70
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,343,323,47214.51,13761.52,60976.03,177.77
6cdd53843498f92890544667809f1595,health_beauty,156,151,54730.20,4363.79,59093.99,378.81
99a4788cb24856965c36a24e339b6058,bed_bath_table,488,467,43025.56,8046.04,51071.60,104.65
d6160fb7873f184099d9bc95e30376af,computers,35,35,48899.34,1426.84,50326.18,1437.89
3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,274,255,41082.60,7129.62,48212.22,175.96
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,527,431,37608.90,7211.86,44820.76,85.05
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,63,63,37733.90,3991.91,41725.81,662.31
25c38557cf793876c5abdd5931f922db,baby,38,38,38907.32,1404.63,40311.95,1060.84
53b36df67ebb7c41585e8d54d6772e08,watches_gifts,323,306,37683.42,2274.51,39957.93,123.71
e0d64dcfaa3b6db5c54ca298ae101d05,watches_gifts,194,194,31786.82,3557.27,35344.09,182.19
422879e10f46682990de24d770e7f83d,garden_tools,484,352,26577.22,7624.04,34201.26,70.66
d285360f29ac7fd97640bf0baef03de0,watches_gifts,123,122,31623.81,1983.76,33607.57,273.23
f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,154,150,29997.36,3319.40,33316.76,216.34
7a10781637204d8d10485c71a6108a2e,watches_gifts,143,142,30467.50,2323.24,32790.74,229.31
f819f0c84a64f02d3a5606ca95edd272,watches_gifts,45,45,29024.48,1425.21,30449.69,676.66
588531f8ec37e7d5ff5b7b22ea0488f8,computers,20,19,28291.99,788.22,29080.21,1454.01
389d119b48cf3043d311335e499d9c6b,garden_tools,392,311,21440.59,7242.09,28682.68,73.17
